wikidata_qid;label_fr
Q16970;église
Q120560;basilique
Q570116;
Q2651004;palais
Q16560;palais
Q124830213;musée
Q3950;villa
Q19860854;bâtiment détruit
Q207694;musée
Q33506;musée
Q92755865;musée
Q108325;chapelle
Q1088552;église
Q317557;église
Q105763925;bibliothèque
Q693842;chapelle
Q29843656;bibliothèque
Q1236923;bibliothèque
Q25550691;hôtel de ville
Q7328910;
Q2065736;
Q19603939;
Q16905550;cycle de fresques
Q83478;
Q1140178;église
Q112132542;palais
Q1128397;couvent
Q15848826;palais
Q3305213;
Q2910675;
Q380829;bibliothèque
Q166118;archives
Q2577114;cathédrale
Q1497375;complexe architectural
Q174782;place
Q24028042;église
Q2977;cathédrale
Q464780;
Q11834910;bibliothèque
Q1497364;complexe architectural
Q12511;
Q112132573;
Q112132534;musée
Q112132522;musée
Q24699794;musée
Q853854;tour
Q200334;tour
Q19899465;église
Q9134984;monstère
Q35112127;
Q992237;Scuola
Q44613;monastère
Q132775089;
Q3397551;pont
Q3397526;pont
Q1825472;pont
Q1068842;pont
Q158438;pont
Q1745026;arsenal
